标题,链接,价格,作者,出版时间,评论数,简介
Python自动化开发实战 黄永祥 著 9787302524908,http://product.dangdang.com/1730673282.html,¥63.96,黄永祥 著,2019/4/1,0,循序渐进，知识全面：本书站在初学者的角度，围绕Python的自动化技术展开讲解，从初学者必备基础知识着手，循序渐进地介绍了自动化程序开发和实现的各种知识，内容难度适中，由浅入深，实用性强，覆盖面广，条理清晰，且具有较强的逻辑性和系统性。 实例丰富，扩展性强：本书每个知识点都单独以一个项目为例进行讲解，力求让读者更容易地掌握知识要点。本书实例经过作者的精心设计和挑选，根据编者的实际开发经验总结而来，涵盖在实际开发中遇到的各种问题。 基于理论，注重实践：在讲解的过程中，不仅介绍理论知识，而且安排了综合应用实例或小型应用程序，将理论应用到实践中，加强读者的实际开发能力，巩固开发技能和相关知识。
Python新手使用Django架站的16堂课 【达额减，评价有礼，关注有礼】 本店套装书籍因批量采集原因导致数据有误，均为其中一本书籍，随机发货，如有问题请联系在线客服,http://product.dangdang.com/1791150501.html,¥37.50,何敏煌 著,2017/3/1,0,
Python机器学习算法与应用 邓立国 清华大学出版社 新书店购书无忧有保障！,http://product.dangdang.com/1691876598.html,¥51.00,邓立国,2020/4/1,0,暂时没有内容
Python基础实例教程 韦玮 人民邮电出版社 【正版现货 下单即发 如有疑问联系在线客服】,http://product.dangdang.com/1781449911.html,¥58.00,韦玮,2018/9/1,0,1.基于Pytho3.X讲解，内容编排由简到难，层层递进。 n 2.全书重点难点附带微课讲解，书网融合互动学习。 n 3.案例丰富，重视实践，着重培养读者的实际运用能力。
Python 3快速入门与实战 【正版书籍，有问题请随时联系在线客服】(支持7天无理由退货！！),http://product.dangdang.com/1692161282.html,¥79.00,"肖冠宇,杨捷等",2019/9/1,0,系统――系统介绍Pytho3语法，夯实基础。 全面――实例讲解Python数据可视化、爬虫开发、数据分析、机器学习等应用。 实用――免费提供本书案例涉及的全部数据集、程序代码。
Python 3 x入门到应用实践 赵军等 机械工业出版社 9787111621232 正版现货，有问题请联系在线客服！,http://product.dangdang.com/1755031738.html,¥77.42,赵军等,2019/4/1,0,
Python宝典 杨佩璐，宋强 等 著 电子工业出版社【正版图书，品质优选，放心选购】 保证正版现货图书，放心购买，有任何问题及时联系在线客服!,http://product.dangdang.com/1731719827.html,¥101.00,杨佩璐，宋强 等 著,2014/4/1,0,作为一门语言教程书籍。 这本书讲得非常不错！ 特别是作者将各个概念和实现方式放在一起讲解，让你知其然知其所以然，显得弥足珍贵。而且在我看过的那么多编程书籍里，这本书的许多讲解和理念都很到位 作为Python入门书来说，*是数一数二的。 深圳亚鼎科技有限公司 信息系统部总监 方擎 对于初学者，尤其是以前对编程没什么经验的人来说，这是一本很适合的书。书的章节内容划分合理，从基础的讲起，循序渐进，让你逐步掌握Python的各种知识。尤其是里面的代码，是作者多年开发经验的总结，有很强的学习价值。 IBM中国商业价值研究院高级分析师 刘京华 在腾讯工作的第1个月，需要用到Python来做项目。我用三天时间把这本书看完，并马上写代码付诸实践，并得到不错的效果，感谢作者！ 腾讯数据商业产品架构师 韩伟
【正版现货】Python数据分析实战9787111576402 [印尼]伊凡・伊德里斯(Ivan Idris) 机械工业 此书为正版图书，正常48小时内发货，提供发票，请放心购买，团购量大请联系在线客服或15671107107,http://product.dangdang.com/1723628387.html,¥78.10,[印尼]伊凡・伊德里斯(Ivan Idris),2017/8/1,0,
"Python数据分析实战,【意】内利(Fabio Nelli),人民邮电出版社【可开发票】 本店书籍 正版保证 有问题您可以联系在线客服 谢谢!",http://product.dangdang.com/1760205840.html,¥47.20,【意】内利(Fabio Nelli),2016/8/1,0,了解Python在信息处理、管理和检索方面的强大功能
Python开发技术详解 周伟 等编著 机械工业出版社 9787111270157 正版现货，下单速发.FX,http://product.dangdang.com/1759605727.html,¥69.40,周伟 等编著,2009/8/1,0,深入解析Python语言，透析应用开发的方方面面 涵盖9大应用领域的各类Python框架 详细讲解Python语言的基本要点和基础类库 内容覆盖GUI、数据库、Web、系统管理、网络编程、图像处理、游戏开发等领域 深入讲解常用开发框架Django、PyWin32、PyGame、Twisted等框架工具包 通过丰富的典型应用实例，引领读者迅速掌握实用技术 9.5小时多媒体视频讲解
Python Qt GUI与数据可视化编程 王维波，栗宝鹃，张晓东 著 人民邮电出版社 9787115514165 正版现货，有问题请联系在线客服！,http://product.dangdang.com/1758167248.html,¥97.02,王维波，栗宝鹃，张晓东 著,2019/9/1,0,PyQt5是Qt 5 C++类库的Python绑定，使用PyQt5可以在Pytho中开发专业的GUI 应用程序。本书介绍PyQt5开发PythoGUI应用程序的编程方法，还介绍在GUI 程序中嵌入二维和三维数据可视化功能的编程方法，特别是将Matplotlib 嵌入GUI 界面的面向对象编程方法。 n 本书包含大量完整示例程序，使学习过程具有可跟随性和可操作性，适合具有Python编程基础，需要使用Python设计GUI应用程序，或在GUI应用程序中嵌入数据可视化功能的读者。 n n 本书主要内容包括： n ● 基于PyQt5的GUI应用程序的技术框架和工具软件的使用； n ● GUI程序设计中常用界面组件和功能模块的使用； n ● 使用PyQtChart、PyQtDataVisualization、Matplotlib在GUI程序中嵌入二维和三维数据可视化功能的编程方法。
PYTHON设计模式 (美)韦塞尔・巴登霍斯特(Wessel Badenhorst) (有问题联系在线客服）,http://product.dangdang.com/1708326208.html,¥72.30,(美)韦塞尔・巴登霍斯特(Wessel Badenhorst,2019/1/1,0,Python正在迅速扩张其应用领域。*近几年，其应用意义已经令其远不止于仅仅是一种面向对象的脚本化语言。设计模式有助于我们模块式地思考和解决问题，帮助我们收集和分析思维模型。 《Python 设计模式》从设计模式的角度，结合各个示例深入浅出地讲解了各种设计模式在Python 中的实现，为读者描述了Python 式设计模式的应有结构以及应该避免的误区。《Python 设计模式》的高度较一般的Python 开发类书籍要高，要求读者具备一定的软件开发和架构经验，否则就可能无法很好地理解本书中讲解的内容。
Python程序设计入门到实战 何敏煌 清华大学出版社 9787302455967【新华书店 正品保障】 新华书店 评价有礼 全国多仓就近发货 85%城市次日送达！,http://product.dangdang.com/1786380684.html,¥69.00,何敏煌,2017/1/1,0,
Python程序设计开发宝典 【满额减】,http://product.dangdang.com/1732037619.html,¥40.90,董付国,2017/8/1,0,内容与Python*版本同步。面向Python 3.5.x、Python 3.6.x及更新版本，重点关注内置对象和标准库对象的高级用法以及比较前沿的一些新技术。语言精练、代码优雅。深入剖析Python编程模式，使用*简练的语言和代码介绍Python高级用法，完美诠释Pythonic的真正含义。案例丰富、注释量大、实用性强。精选多个领域中的经典案例，几乎每段重要代码都配有大量注释，让读者能够在*短时间内理解代码思路和要点，大幅度缩短阅读和学习时间，由浅入深，层层递进，平滑学习曲线。
【正版现货】 Python+Kivy从入门到实践 9787569263398 明日科技（MingRiSoft）著，明日科 此书为正版图书，正常48小时内发货，提供发票，请放心购买，团购量大请联系在线客服或15671107107,http://product.dangdang.com/1699566847.html,¥72.38,明日科技（MingRiSoft）著，明日科技 编,2020/5/1,0,全新中文Python移动开发入门图书，提炼一线开发经验，精选丰富实例和流行项目，助您快速掌握Kivy技能，迈进移动APP开发的大门，配环境搭建视频讲解和项目源码
Python数据分析与数据化运营 机械工业出版社 【有问题联系在线客服】,http://product.dangdang.com/1754584066.html,¥84.00,宋天龙 著,2019/7/1,0,（1）作者是有10余年数据分析与数据化运营经验的资深大数据专家，在国内外企业都工作过，经验丰富。 （2）作者善于总结和写作，乐于分享，撰写数据分析类 畅销书3部。 （3）本书与同类书大的不同在于，并不只有纯粹的关于数据分析技术和工具的讲解，而且还与数据使用场景深度结合，在业务上真正可指导落地。 （4）新版除了Python更新到了新版外，具体内容上做了大幅度的补充和优化，整体篇幅超过30%，详见前言。 （5）本书作者提供微信、邮箱等，可通过实时和离线两种方式及时为读者在线传道、受业、解惑。 添加作者微信（TonySong2013）可在线获取实时解答，同时加入本书沟通群（作者拉入群），交流更多数据工作的感悟和心得并认识更多同行从业者；本书提供案例数据和源代码（中文注释）下载，供读者实操时使用。
Python测试之道 杨燕琳，朱圣洲，石�� 著 9787115479518 人民邮电出版社 正版图书，提供电子发票，正常情况下48小时内发出，有任何问题联系在线客服！,http://product.dangdang.com/1670820047.html,¥51.04,杨燕琳，朱圣洲，石�� 著,2018/7/1,0,适读人群 ：计算机相关专业学生，从事Python测试工作的读者，适合零售和培训。 基于Python3.6的测试开发实践总结 n 1. 作者多年从事测试开发管理工作，写作风格将教育融于生活，有趣接地气，广受读者好评。 n 2. 作者的内容在百度阅读上点击量达4万余次，深受开发者欢迎。 n 3. 作者运营的公众号“心花绽放测试窝”，拥有很高的人气，深受测试工程师欢迎。
Python机器学习 第2版 Sebastian，Raschka，Vahid，Mirjalili 著 东南大学出版社 【正版书籍 闪电发货 优质服务 电子发票 放心下单】,http://product.dangdang.com/1782916524.html,¥109.00,Sebastian，Raschka，Vahid，Mirjal,2018/10/1,0,
Python网络编程基础 [美] 高森（John Goerzen） 著；莫迟 等 译 电子工业出版社 978712104,http://product.dangdang.com/1750354656.html,¥73.48,[美] 高森（John Goerzen） 著；莫迟 等 译,2007/6/1,0,Python网络编程*入门图书！ 175个完整实例，实践出真知，Sockets、DNS、Web Service、FTP、Email、SMTP、POP、IMAP、SocketServe、CGI、XML、Forking、数据库客户端、多线程、异步通信 完整涵盖网络编程的方方面面 亲爱的读者：Python语言非常流行的一个原因在于它方便而灵活的特性。使用Python编写网络程序同样是非常方便的，它可以无拘无束地访问操作系统的网络库，更不用说很多不同的模块了，它们可以实现诸如HTTP、FTP、SMTP、IMAP、DNS等完整的协议。无论您是要编写网络程序来和本地的机器通信，还是和远程的服务器通信，Python都是您需要的语言。为了使您能快速掌握Python网络编程，书中加入了大约175个示例程序
